Prediction,Correct
0.5455174003226549,1
0.675,0
0.7279411764705882,1
0.3318925014095095,0
0.5,1
0.5633802816901409,0
0.46551724137931033,0
0.5263157894736842,1
0.0,1
0.0,1
1.0,1
1.0,1
1.0,0
0.6666666666666666,1
0.3742058449809403,0
0.4339622641509434,0
0.64,1
0.5728155339805825,0
0.4337059742757543,1
0.6088709677419355,0
0.5455174003226549,1
0.5368298368298369,1
0.5,0
0.0,1
0.5833333333333334,1
0.6088709677419355,0
0.3742058449809403,0
0.7622377622377622,1
0.4337059742757543,0
0.9444444444444444,1
0.4337059742757543,0
0.3393854748603352,1
0.4098360655737705,0
0.0,1
0.0,1
0.1606425702811245,1
0.0,0
0.3393854748603352,1
0.0,0
0.5368298368298369,1
0.4676470588235294,1
0.0,0
0.46331304069208584,0
0.3333333333333333,1
0.49945414847161573,1
0.8941176470588236,1
1.0,0
0.0,0
0.5025316455696203,1
1.0,1
0.0,0
0.5,0
0.0,1
1.0,1
0.36885245901639346,0
1.0,1
0.5368298368298369,1
0.9826589595375722,1
1.0,0
0.4530617574095835,1
0.6769394261424017,1
0.6842105263157895,1
0.5,1
0.5404780262143408,0
0.40064446831364126,0
0.43859649122807015,1
0.9259259259259259,0
0.525,0
0.5806451612903226,1
0.44408427876823336,1
0.4530617574095835,1
0.9069767441860465,1
0.5932203389830508,0
0.0,1
0.3742058449809403,1
0.503800217155266,0
0.8870056497175142,1
0.6666666666666666,1
0.7142857142857143,1
0.0,0
0.5,0
0.9069767441860465,1
0.8,1
0.5283018867924528,1
0.9032258064516129,1
0.0,0
1.0,1
0.5076923076923077,1
0.0,1
0.3742058449809403,0
0.4235294117647059,0
0.9855595667870036,1
0.07692307692307693,0
0.4337059742757543,0
0.3624401913875598,1
0.5333333333333333,0
0.4375,0
0.4018976618095561,0
1.0,1
0.7215189873417721,1
0.5862068965517241,0
0.5,1
0.4671248142644874,1
0.6865671641791045,0
0.3742058449809403,0
0.7575757575757576,1
0.8771929824561403,1
0.47058823529411764,0
0.41237113402061853,1
0.8275862068965517,1
0.0,1
1.0,1
0.8816793893129771,1
0.5675675675675675,1
1.0,0
0.34615384615384615,0
0.0,1
0.3333333333333333,0
0.5025316455696203,1
0.47796610169491527,0
0.42231075697211157,1
1.0,0
0.49945414847161573,0
0.41920644048303624,0
0.5147794452023647,1
0.5348679756262694,1
0.0,1
0.625,1
0.3742058449809403,1
0.0,1
0.44408427876823336,1
0.65,0
0.0,1
1.0,0
1.0,1
0.6666666666666666,0
1.0,0
0.4536082474226804,0
0.0,0
0.9193548387096774,1
0.535377358490566,0
0.25,1
1.0,0
0.4,1
1.0,1
0.42857142857142855,1
0.8181818181818182,1
0.3318925014095095,0
0.6111111111111112,0
0.0,0
0.47058823529411764,1
0.4337059742757543,0
0.75,1
0.7142857142857143,1
0.9166666666666666,1
0.5,0
0.6666666666666666,1
0.44193857965451055,0
0.3318925014095095,0
0.44193857965451055,0
0.5994500458295142,0
0.4337059742757543,1
0.3742058449809403,0
0.4671248142644874,1
0.6088709677419355,1
0.5594031531531531,1
0.3393854748603352,1
0.45054945054945056,0
0.5,0
0.3220338983050847,0
1.0,1
0.4792243767313019,0
0.0,1
0.75,0
0.3318925014095095,0
0.6666666666666666,1
0.0,0
0.4558892173642446,0
0.0,0
1.0,1
0.35714285714285715,0
0.45235531628532977,1
1.0,1
0.45454545454545453,1
1.0,1
0.5,0
1.0,1
1.0,1
0.5,0
0.42105263157894735,1
0.0,1
0.6764705882352942,1
0.465625,0
0.75,1
0.4906832298136646,1
0.45077720207253885,0
0.5081967213114754,1
0.0,1
1.0,1
0.4889867841409692,1
0.0,0
0.5404780262143408,1
0.9428571428571428,1
0.5,1
0.7733333333333333,1
1.0,1
0.4530617574095835,1
0.45235531628532977,0
0.375,0
0.3742058449809403,1
0.9545454545454546,0
0.782608695652174,0
0.5517241379310345,0
0.4672897196261682,0
0.6086956521739131,1
1.0,1
1.0,1
0.6938775510204082,1
0.5454545454545454,0
0.5368298368298369,1
0.37254901960784315,0
0.9024390243902439,1
0.5454545454545454,1
0.44408427876823336,1
0.41237113402061853,0
0.7777777777777778,1
0.8588235294117647,1
0.0,0
0.5555555555555556,0
1.0,1
0.4671248142644874,1
0.6956521739130435,1
0.8181818181818182,1
0.3840725806451613,0
1.0,1
0.4671248142644874,0
0.0,0
0.6107178968655207,1
0.6764705882352942,1
0.5359712230215827,0
0.3318925014095095,0
0.42166855417138543,1
0.21428571428571427,1
1.0,0
0.44408427876823336,1
0.43010752688172044,1
1.0,1
1.0,1
0.16666666666666666,0
1.0,1
1.0,1
0.75,0
1.0,1
1.0,0
0.4688044614848379,0
0.5076923076923077,1
0.9043478260869565,1
0.5594031531531531,1
1.0,0
0.4,1
0.3333333333333333,0
0.8932038834951457,1
0.0,1
0.0,1
0.5368298368298369,0
0.625,1
0.8266666666666667,1
